de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
backen         ,backen       ;bäckt/backt      ;buk/backte         ;hat#gebacken              ,bake           ,                     ,true, 0.5,,,
befehlen       ,befehlen     ;befiehlt         ;befahl             ;hat#befohlen              ,order          ,                     ,true, 0.5,,,
beginnen       ,beginnen     ;beginnt          ;begann             ;hat#begonnen              ,begin          ,                     ,true, 0.5,,,
beißen         ,beißen       ;beißt            ;biß                ;hat#gebissen              ,bite           ,                     ,true, 0.5,,,
bergen         ,bergen       ;birgt            ;barg               ;hat#geborgen              ,save           ,                     ,true, 0.5,,,
bersten        ,bersten      ;birst            ;barst              ;ist#geborsten             ,burst          ,                     ,true, 0.5,,,
biegen         ,biegen       ;biegt            ;bog                ;hat#gebogen               ,bend           ,                     ,true, 0.5,,,
bieten         ,bieten       ;bietet           ;bot                ;hat#geboten               ,offer          ,                     ,true, 0.5,,,
binden         ,binden       ;bindet           ;band               ;hat#gebunden              ,bind           ,                     ,true, 0.5,,,
bitten         ,bitten       ;bittet           ;bat                ;hat#gebeten               ,beg            ,                     ,true, 0.5,,,
blasen         ,blasen       ;bläst            ;blies              ;hat#geblasen              ,blow           ,                     ,true, 0.5,,,
bleiben        ,bleiben      ;bleibt           ;blieb              ;ist#geblieben             ,stay           ,                     ,true, 0.5,,,
braten         ,braten       ;brät             ;briet              ;hat#gebraten              ,fry            ,                     ,true, 0.5,,,
brechen        ,brechen      ;bricht           ;brach              ;hat/ist#gebrochen         ,break          ,                     ,true, 0.5,,,
brennen        ,brennen      ;brennt           ;brannte            ;hat#gebrannt              ,burn           ,                     ,true, 0.5,,,
bringen        ,bringen      ;bringt           ;brachte            ;hat#gebracht              ,bring          ,                     ,true, 0.5,,,
denken         ,denken       ;denkt            ;dachte             ;hat#gedacht               ,think          ,                     ,true, 0.5,,,
dreschen       ,dreschen     ;drischt          ;drosch             ;hat#gedroschen            ,thresh         ,                     ,true, 0.5,,,
dringen        ,dringen      ;dringt           ;drang              ;hat/ist#gedrungen         ,insist         ,                     ,true, 0.5,,,
dürfen         ,dürfen       ;darf             ;durfte             ;hat#gedurft               ,can            ,have#permission      ,true, 0.5,,,
empfangen      ,empfangen    ;empfängt         ;empfing            ;hat#empfangen             ,receive        ,                     ,true, 0.5,,,
empfehlen      ,empfehlen    ;empfiehlt        ;empfahl            ;hat#empfohlen             ,recommend      ,                     ,true, 0.5,,,
erlöschen      ,erlöschen    ;erlischt         ;erlosch            ;ist#erloschen             ,go#out         ,expire               ,true, 0.5,,,
erschrecken    ,erschrecke   ;erschrickt       ;erschrak           ;ist#erschrocken           ,be#scared      ,                     ,true, 0.5,,,
essen          ,essen        ;isst             ;aß                 ;hat#gegessen              ,eat            ,                     ,true, 0.5,,,
fahren         ,fahren       ;fährt            ;fuhr               ;hat/ist#gefahren          ,drive          ,                     ,true, 0.5,,,
fallen         ,fallen       ;fällt            ;fiel               ;ist#gefallen              ,fall           ,                     ,true, 0.5,,,
fangen         ,fangen       ;fängt            ;fing               ;hat#gefangen              ,catch          ,                     ,true, 0.5,,,
fechten        ,fechten      ;ficht            ;focht              ;hat#gefochten             ,fence          ,                     ,true, 0.5,,,
finden         ,finden       ;findet           ;fand               ;hat#gefunden              ,find           ,                     ,true, 0.5,,,
flechten       ,flechten     ;flicht           ;flocht             ;hat#geflochten            ,weave          ,                     ,true, 0.5,,,
fliegen        ,fliegen      ;fliegt           ;flog               ;hat/ist#geflogen          ,fly            ,                     ,true, 0.5,,,
fliehen        ,fliehen      ;flieht           ;floh               ;ist#geflohen              ,flee           ,                     ,true, 0.5,,,
fließen        ,fließen      ;fließt           ;floss              ;ist#geflossen             ,flow           ,                     ,true, 0.5,,,
fressen        ,fressen      ;frisst           ;fraß               ;hat#gefressen             ,eat#           ,like#an#animal       ,true, 0.5,,,
frieren        ,frieren      ;friert           ;fror               ;hat#gefroren              ,freeze         ,                     ,true, 0.5,,,
gären          ,gären        ;gärt             ;gor                ;ist#gegoren               ,roam           ,                     ,true, 0.5,,,
gebären        ,gebären      ;gebärt/gebiert   ;gebar              ;hat/ist#geboren           ,give#birth     ,                     ,true, 0.5,,,
geben          ,geben        ;gibt             ;gab                ;hat#gegeben               ,give           ,                     ,true, 0.5,,,
gedeihen       ,gedeihen     ;gedeiht          ;gedieh             ;ist#gediehen              ,thrive/prosper ,                     ,true, 0.5,,,
gehen          ,gehen        ;geht             ;ging               ;ist#gegangen              ,go             ,                     ,true, 0.5,,,
gelingen       ,gelingen     ;gelingt          ;gelang             ;ist#gelungen              ,succeed        ,                     ,true, 0.5,,,
gelten         ,gelten       ;gilt             ;galt               ;hat#gegolten              ,be#valid       ,                     ,true, 0.5,,,
genesen        ,genesen      ;genest           ;genas              ;ist#genesen               ,recover        ,                     ,true, 0.5,,,
genießen       ,genießen     ;genießt          ;genoss             ;hat#genossen              ,enjoy          ,                     ,true, 0.5,,,
geschehen      ,geschehen    ;geschieht        ;geschah            ;ist#geschehen             ,happen         ,                     ,true, 0.5,,,
gewinnen       ,gewinnen     ;gewinnt          ;gewann             ;hat#gewonnen              ,win            ,                     ,true, 0.5,,,
gießen         ,gießen       ;gießt            ;goss               ;hat#gegossen              ,pour           ,                     ,true, 0.5,,,
gleichen       ,gleichen     ;gleicht          ;glich              ;hat#geglichen             ,even           ,                     ,true, 0.5,,,
